"Year","Month","Nationality","State","Students","Share","Growth"
"2021","Sep","_All","_All","557836","100","-17"
"2021","Sep","_All","ACT","14582","3","-5"
"2021","Sep","_All","QLD","78703","14","-20"
"2021","Sep","_All","TAS","11571","2","-12"
"2021","Sep","_All","NSW","214522","38","-16"
"2021","Sep","_All","NT","3766","1","-4"
"2021","Sep","_All","SA","32819","6","-10"
"2021","Sep","_All","VIC","177626","32","-19"
"2021","Sep","_All","WA","31452","6","-17"
"2021","Sep","Andorra","_All","4","0","-63"
"2021","Sep","Bahamas","_All","4","0","-20"
"2021","Sep","Barbados","_All","4","0","-60"
"2021","Sep","Belarus","_All","17","0","-26"
"2021","Sep","Belize","_All","4","0","-50"
"2021","Sep","Botswana","_All","119","0","-6"
"2021","Sep","Cambodia","_All","2517","0","-8"
"2021","Sep","Cameroon","_All","31","0","-14"
"2021","Sep","Canada","_All","3243","1","-24"
"2021","Sep","Chad","_All","6","0","200"
"2021","Sep","Croatia","_All","57","0","-27"
"2021","Sep","French Polynesia","_All","4","0","0"
"2021","Sep","Gaza Strip and West Bank","_All","24","0","-11"
"2021","Sep","Georgia","_All","4","0","-43"
"2021","Sep","Grenada","_All","4","0","0"
"2021","Sep","Indonesia","_All","14912","3","-13"
"2021","Sep","Kenya","_All","2915","1","-15"
"2021","Sep","Korea, Democratic People's Republic of (North)","_All","4","0","0"
"2021","Sep","Kosovo","_All","4","0","-25"
"2021","Sep","Liberia","_All","6","0","-33"
"2021","Sep","Madagascar","_All","16","0","-6"
"2021","Sep","Mauritania","_All","4","0","-50"
"2021","Sep","Nepal","_All","44637","8","-13"
"2021","Sep","Nigeria","_All","1873","0","-8"
"2021","Sep","St Lucia","_All","4","0","0"
"2021","Sep","Tajikistan","_All","4","0","100"
"2021","Sep","Vietnam","_All","20317","4","-15"
"2021","Sep","Bolivia","_All","53","0","-20"
"2021","Sep","Colombia","_All","14546","3","-22"
"2021","Sep","Comoros","_All","4","0","0"
"2021","Sep","Cyprus","_All","27","0","-43"
"2021","Sep","Equatorial Guinea","_All","4","0","50"
"2021","Sep","Eritrea","_All","4","0","-80"
"2021","Sep","Ghana","_All","429","0","-11"
"2021","Sep","Iran","_All","1893","0","-12"
"2021","Sep","Iraq","_All","92","0","-33"
"2021","Sep","Jamaica","_All","15","0","-29"
"2021","Sep","Mexico","_All","1287","0","-47"
"2021","Sep","Monaco","_All","4","0","0"
"2021","Sep","Montenegro","_All","11","0","-27"
"2021","Sep","Morocco","_All","51","0","-12"
"2021","Sep","Mozambique","_All","40","0","-5"
"2021","Sep","Norway","_All","391","0","-70"
"2021","Sep","Panama","_All","25","0","-7"
"2021","Sep","Peru","_All","1040","0","-17"
"2021","Sep","Poland","_All","639","0","-29"
"2021","Sep","Puerto Rico","_All","4","0","0"
"2021","Sep","Suriname","_All","6","0","-14"
"2021","Sep","Thailand","_All","10353","2","-28"
"2021","Sep","Turkey","_All","1289","0","-27"
"2021","Sep","Azerbaijan","_All","25","0","-29"
"2021","Sep","Belgium","_All","290","0","-35"
"2021","Sep","Bhutan","_All","2674","0","-17"
"2021","Sep","Bosnia and Herzegovina","_All","39","0","-17"
"2021","Sep","China","_All","166319","30","-11"
"2021","Sep","Czech Republic","_All","474","0","-42"
"2021","Sep","Dominican Republic","_All","5","0","-17"
"2021","Sep","Germany","_All","1739","0","-47"
"2021","Sep","Guatemala","_All","44","0","-30"
"2021","Sep","Israel","_All","169","0","-10"
"2021","Sep","Kazakhstan","_All","152","0","-6"
"2021","Sep","Kuwait","_All","334","0","-12"
"2021","Sep","Macau","_All","669","0","-13"
"2021","Sep","Rwanda","_All","26","0","-13"
"2021","Sep","Serbia","_All","88","0","-27"
"2021","Sep","Sweden","_All","581","0","-47"
"2021","Sep","Tuvalu","_All","12","0","-8"
"2021","Sep","Zaire","_All","4","0","0"
"2021","Sep","Argentina","_All","1264","0","-7"
"2021","Sep","Bahrain","_All","20","0","-49"
"2021","Sep","Congo, Republic of","_All","7","0","250"
"2021","Sep","Cote d'Ivoire","_All","5","0","25"
"2021","Sep","Egypt","_All","383","0","-7"
"2021","Sep","El Salvador","_All","47","0","-13"
"2021","Sep","Greece","_All","294","0","-34"
"2021","Sep","India","_All","97613","17","-13"
"2021","Sep","Latvia","_All","55","0","-15"
"2021","Sep","Lesotho","_All","5","0","-17"
"2021","Sep","Luxembourg","_All","11","0","-48"
"2021","Sep","Namibia","_All","8","0","-27"
"2021","Sep","Papua New Guinea","_All","949","0","-18"
"2021","Sep","Portugal","_All","516","0","-24"
"2021","Sep","Qatar","_All","17","0","-43"
"2021","Sep","Saudi Arabia","_All","3946","1","-27"
"2021","Sep","Senegal","_All","4","0","-33"
"2021","Sep","South Africa","_All","802","0","-9"
"2021","Sep","Sri Lanka","_All","11478","2","-13"
"2021","Sep","Swaziland","_All","7","0","-30"
"2021","Sep","United Arab Emirates","_All","263","0","-17"
"2021","Sep","United Kingdom (Other)","_All","4","0","-33"
"2021","Sep","United States of America","_All","3506","1","-58"
"2021","Sep","Uzbekistan","_All","130","0","-21"
"2021","Sep","Afghanistan","_All","27","0","-10"
"2021","Sep","Burundi","_All","14","0","40"
"2021","Sep","Falkland Islands","_All","4","0","0"
"2021","Sep","France","_All","2520","0","-35"
"2021","Sep","Hong Kong","_All","11888","2","-5"
"2021","Sep","Italy","_All","3927","1","-22"
"2021","Sep","Kiribati","_All","7","0","-22"
"2021","Sep","Laos","_All","398","0","-24"
"2021","Sep","Moldova","_All","4","0","0"
"2021","Sep","Nauru","_All","34","0","-13"
"2021","Sep","Nicaragua","_All","8","0","-20"
"2021","Sep","Other","_All","39","0","-30"
"2021","Sep","Paraguay","_All","49","0","-31"
"2021","Sep","Philippines","_All","14235","3","-16"
"2021","Sep","Russian Federation","_All","670","0","-19"
"2021","Sep","Samoa ","_All","18","0","50"
"2021","Sep","Sierra Leone","_All","22","0","10"
"2021","Sep","Singapore","_All","5862","1","-17"
"2021","Sep","Spain","_All","1736","0","-59"
"2021","Sep","St Vincent and the Grenadines","_All","4","0","0"
"2021","Sep","Switzerland","_All","253","0","-69"
"2021","Sep","Austria","_All","106","0","-54"
"2021","Sep","Bangladesh","_All","6011","1","-10"
"2021","Sep","Brunei Darussalam","_All","245","0","-13"
"2021","Sep","Bulgaria","_All","77","0","-34"
"2021","Sep","Cuba","_All","4","0","-60"
"2021","Sep","Ecuador","_All","298","0","-32"
"2021","Sep","Estonia","_All","227","0","-30"
"2021","Sep","Ethiopia","_All","167","0","-20"
"2021","Sep","Fiji","_All","719","0","-14"
"2021","Sep","Gambia","_All","4","0","-50"
"2021","Sep","Honduras","_All","25","0","4"
"2021","Sep","Ireland","_All","920","0","-18"
"2021","Sep","Jordan","_All","380","0","-20"
"2021","Sep","Korea, Republic of (South)","_All","13591","2","-24"
"2021","Sep","Libya","_All","4","0","-60"
"2021","Sep","Lithuania","_All","259","0","-45"
"2021","Sep","Malawi","_All","65","0","-18"
"2021","Sep","Maldives","_All","131","0","-2"
"2021","Sep","Malta","_All","17","0","-6"
"2021","Sep","Netherlands","_All","472","0","-40"
"2021","Sep","Niger","_All","4","0","-50"
"2021","Sep","Romania","_All","100","0","-27"
"2021","Sep","Slovakia","_All","326","0","-35"
"2021","Sep","Solomon Islands","_All","126","0","-10"
"2021","Sep","Sudan","_All","79","0","-11"
"2021","Sep","Syria","_All","22","0","10"
"2021","Sep","Tonga","_All","43","0","-17"
"2021","Sep","United Kingdom","_All","4476","1","-25"
"2021","Sep","Uruguay","_All","103","0","-31"
"2021","Sep","Albania","_All","59","0","-13"
"2021","Sep","Chile","_All","2639","0","-27"
"2021","Sep","Congo, Democratic Republic of","_All","18","0","0"
"2021","Sep","Denmark","_All","137","0","-68"
"2021","Sep","East Timor","_All","42","0","-34"
"2021","Sep","Guinea","_All","5","0","-17"
"2021","Sep","Guinea-Bissau","_All","4","0","0"
"2021","Sep","Guyana","_All","4","0","0"
"2021","Sep","Hungary","_All","163","0","-31"
"2021","Sep","Japan","_All","5426","1","-40"
"2021","Sep","Kyrgyzstan","_All","17","0","-6"
"2021","Sep","Mauritius","_All","1414","0","-21"
"2021","Sep","Mongolia","_All","2302","0","-18"
"2021","Sep","North Macedonia","_All","202","0","-22"
"2021","Sep","Seychelles","_All","19","0","-41"
"2021","Sep","Tanzania","_All","114","0","-13"
"2021","Sep","Trinidad and Tobago","_All","15","0","-25"
"2021","Sep","Turkmenistan","_All","4","0","50"
"2021","Sep","Uganda","_All","158","0","-2"
"2021","Sep","Ukraine","_All","115","0","-25"
"2021","Sep","Yemen","_All","24","0","-43"
"2021","Sep","Algeria","_All","15","0","-21"
"2021","Sep","Angola","_All","4","0","0"
"2021","Sep","Armenia","_All","12","0","-8"
"2021","Sep","Brazil","_All","14526","3","-32"
"2021","Sep","Burkina Faso","_All","4","0","0"
"2021","Sep","Costa Rica","_All","34","0","-17"
"2021","Sep","Dominica","_All","4","0","-67"
"2021","Sep","Finland","_All","203","0","-41"
"2021","Sep","Haiti","_All","4","0","-33"
"2021","Sep","Iceland","_All","15","0","-46"
"2021","Sep","Lebanon","_All","479","0","-21"
"2021","Sep","Malaysia","_All","15212","3","-24"
